Date	Type	Raion	Location	Name	Question	TypeQuestion	Answer
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	31-57 year	numeric	0
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	58 - ... year	numeric	0
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of physical visits during this month 	numeric	963
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Does your library have a web page either on your own site or on social media?	dropdown	Yes
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	If answered yes to previous question, indicate number of visits.	numeric	170
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of unique individuals using Novateca workstations 	numeric	521
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of unique individuals using  non-Novateca workstations 	numeric	0
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of loans of library materials 	numeric	1037
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of event visitors/persons	numeric	390
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	New services and activities, including on computers  	textaria	Informatii din internet-56persoane. Sanatate-21. Comunicare cu familia-47.Consultatii pe loc-41.
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	How many people work in the library? Please include all staff members (librarians & support).	numeric	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Did you library receive any technology donations (e.g. hardware, software)? Do not include Novateca.	dropdown	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Did your library have any volunteers that help with your work?	dropdown	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Did you library receive any capital donations (e.g., buildings, infrastructure)?	dropdown	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of consultations in June	numeric	268
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Communication	numeric	114
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Education	numeric	56
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Culture and Leisure	numeric	38
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Electronic Governance	numeric	8
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Health	numeric	39
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Economic Development	numeric	11
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Digital Inclusion	numeric	2
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Other consultations	textaria	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Topic/title of each training 	text	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training, start	datepiker	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training end	datepiker	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	The total hours per training	numeric	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of trained persons	numeric	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	The group of the participants	text	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Partners, contributions	textaria	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Topic/title of training	text	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training, start	datepiker	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training end	datepiker	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of hours per training, duration in hours	numeric	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of trained persons	numeric	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Target group of participants	text	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Partners, contributions	textaria	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Topic/title of training	text	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training, start	datepiker	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Date of training end	datepiker	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of hours per training, duration in hours	numeric	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of trained persons	numeric	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Target group of participants	text	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Partners, contributions	textaria	
